CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
AFC,4/21/2026 00:00:00,BAL,Cash Trade,1.00,,,,,,x,,,,,,,
AFC,4/21/2026 00:00:00,LVR,Cash Trade,-1.00,,,,,,x,,,,,,,
AFC,4/28/2026 00:00:00,MIA,J. Carlies,2.99,3,2025 UFA,,,,,,,,,,,
AFC,5/1/2026 18:09:15,KCC,Cash Trade,11.2,,,,,,x,,,,,,,
AFC,5/1/2026 18:09:15,LVR,Cash Trade,-11.2,,,,,,x,,,,,,,
AFC,5/13/2026 07:24:11,DEN,Jeremiah Owusu-Koramoah,5.43,1,2025 B/R,,,,,,,,,MANUAL PRE-DROP SALARY OVERRIDE; PENDING WAIVER UNTIL 05/16/2026 05:00 AM EDT,,
NFC,4/23/2026 00:00:00,CAR,C. Gardner Johnson,7.94,1,2025 UFA,,,,,,,,,,,
NFC,5/1/2026 21:24:10,ATL,Cash Trade,8.55,,,,,,x,,,,,,,
NFC,5/1/2026 21:24:10,NYG,Cash Trade,-8.55,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,ATL,Cash Trade,3.65,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,WAS,Cash Trade,-3.65,,,,,,x,,,,,,,
