CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
AFC,4/21/2026 00:00:00,BAL,Cash Trade,1.00,,,,,,x,,,,,,,
AFC,4/21/2026 00:00:00,LVR,Cash Trade,-1.00,,,,,,x,,,,,,,
AFC,4/28/2026 00:00:00,MIA,J. Carlies,2.99,3,2025 UFA,,,,,,,,,,,
AFC,5/1/2026 18:09:15,KCC,Cash Trade,11.2,,,,,,x,,,,,,,
AFC,5/1/2026 18:09:15,LVR,Cash Trade,-11.2,,,,,,x,,,,,,,
AFC,5/13/2026 07:24:11,DEN,Jeremiah Owusu-Koramoah,5.43,1,2025 B/R,,,,,,,,,MANUAL PRE-DROP SALARY OVERRIDE,,
AFC,6/16/2026 15:26:26,LVR,Jonnu Smith,5.02,1,2025 UFA,,,,,,,,,,,
AFC,6/22/2026 09:03:23,BAL,Cash Trade,8,,,,,,x,,,,,,,
AFC,6/22/2026 09:03:23,NYJ,Cash Trade,-8,,,,,,x,,,,,,,
AFC,8/1/2026 18:18:52,DEN,Cash Trade,6,,,,,,x,,,,,,,
AFC,8/1/2026 18:18:52,BAL,Cash Trade,-6,,,,,,x,,,,,,,
AFC,8/1/2026 19:39:15,DEN,Cash Trade,6.2,,,,,,x,,,,,,,
AFC,8/1/2026 19:39:15,KCC,Cash Trade,-6.2,,,,,,x,,,,,,,
AFC,8/13/2026 12:48:16,KCC,Cash Trade,7.2,,,,,,x,,,,,,,
AFC,8/13/2026 12:48:16,IND,Cash Trade,-7.2,,,,,,x,,,,,,,
AFC,8/22/2026 11:23:21,CLE,Bobby Wagner,4.3,1,2026 UFA,,,,,,,,,,,
AFC,8/22/2026 11:51:42,CLE,Germaine Pratt,2.01,2,2026 UFA,,,,,,,,,,,
AFC,8/26/2026 22:31:19,MIA,Deommodore Lenoir,2.28,2,2025 UFA,,,,,,,,,,,
AFC,8/31/2026 17:21:50,DEN,Junior Colson,2.05,2,2024 2.05,,,,,,,,,,,
AFC,9/1/2026 08:33:10,NEP,Christian Rozeboom,4.07,1,2024 iEXT,,,,,,,,,,,
AFC,9/1/2026 08:57:44,NEP,Joseph Ossai,3.64,2,2025 iEXT,,,,,,,,,,,
AFC,9/3/2026 15:23:30,BAL,Noah Brown,2.06,1,2024 UFA,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: LVR -> BAL,,
AFC,9/3/2026 15:23:30,BAL,Khalen Saunders,2.06,1,2024 UFA,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: LVR -> BAL,,
AFC,9/4/2026 17:14:05,DEN,Evan Engram,6.48,1,2025 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/06/2026 05:00 AM EDT,,
NFC,4/23/2026 00:00:00,CAR,C. Gardner Johnson,7.94,1,2025 UFA,,,,,,,,,,,
NFC,5/1/2026 21:24:10,ATL,Cash Trade,8.55,,,,,,x,,,,,,,
NFC,5/1/2026 21:24:10,NYG,Cash Trade,-8.55,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,ATL,Cash Trade,3.65,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,WAS,Cash Trade,-3.65,,,,,,x,,,,,,,
NFC,6/22/2026 11:10:37,SFO,Cash Trade,6.5,,,,,,x,,,,,,,
NFC,6/22/2026 11:10:37,DAL,Cash Trade,-6.5,,,,,,x,,,,,,,
NFC,8/17/2026 19:50:26,ATL,Luke Schoonmaker,4.1,4,2024 iEXT,,,,,,,,,,,
NFC,8/20/2026 15:36:07,SEA,Tez Johnson,4.52,4,2025 iEXT,,,,,,,,,,,
NFC,8/26/2026 08:41:41,NOS,Cash Trade,8.6,,,,,,x,,,,,,,
NFC,8/26/2026 08:41:41,WAS,Cash Trade,-8.6,,,,,,x,,,,,,,
NFC,8/26/2026 18:22:33,WAS,Cole Kmet,5.75,1,2025 B/R,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: NOS -> WAS,,
NFC,8/28/2026 13:41:52,SEA,Tyrice Knight,2.1,3,2026 oEXT,,,,,,,,,,,
NFC,8/28/2026 21:15:18,SEA,KLavon Chaisson,3.49,2,2026 oEXT,,,,,,,,,,,
NFC,8/30/2026 15:16:16,ATL,Tatum Bethune,2.1,3,2026 oEXT,,,,,,,,,,,
NFC,8/30/2026 16:36:20,DET,Kyle Dugger,5.72,1,2023 SRFA,,,,,,,,,,,
NFC,8/30/2026 22:18:59,MIN,Tershawn Wharton,5.63,3,2025 iEXT,,,,,,,,,,,
NFC,8/30/2026 22:18:59,MIN,Kerby Joseph,4.1,1,2026 UFA,,,,,,,,,,,
NFC,9/1/2026 18:57:54,NOS,Cash Trade,3.6,,,,,,x,,,,,,,
NFC,9/1/2026 18:57:54,NYG,Cash Trade,-3.6,,,,,,x,,,,,,,
NFC,9/2/2026 23:01:08,WAS,Zach Harrison,2.9,1,2026 UFA,,,,,,,,,,,
NFC,9/4/2026 18:31:16,CAR,Dante Stills,2.04,1,2025 oEXT,,,,,,,,,PENDING WAIVER UNTIL 09/06/2026 05:00 AM EDT,,
NFC,9/4/2026 18:32:55,CAR,Isiah Pacheco,5.88,1,2025 SRFA,,,,,,,,,PENDING WAIVER UNTIL 09/06/2026 05:00 AM EDT,,
