CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
AFC,4/21/2026 00:00:00,BAL,Cash Trade,1.00,,,,,,x,,,,,,,
AFC,4/21/2026 00:00:00,LVR,Cash Trade,-1.00,,,,,,x,,,,,,,
AFC,4/28/2026 00:00:00,MIA,J. Carlies,2.99,3,2025 UFA,,,,,,,,,,,
AFC,5/1/2026 18:09:15,KCC,Cash Trade,11.2,,,,,,x,,,,,,,
AFC,5/1/2026 18:09:15,LVR,Cash Trade,-11.2,,,,,,x,,,,,,,
AFC,5/13/2026 07:24:11,DEN,Jeremiah Owusu-Koramoah,5.43,1,2025 B/R,,,,,,,,,MANUAL PRE-DROP SALARY OVERRIDE,,
AFC,6/16/2026 15:26:26,LVR,Jonnu Smith,5.02,1,2025 UFA,,,,,,,,,,,
AFC,6/22/2026 09:03:23,BAL,Cash Trade,8,,,,,,x,,,,,,,
AFC,6/22/2026 09:03:23,NYJ,Cash Trade,-8,,,,,,x,,,,,,,
AFC,7/13/2026 12:47:50,CIN,Joshua Karty,1.08,2,2024 5.10,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,7/30/2026 07:56:48,PIT,Jake Briningstool,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/1/2026 18:18:52,DEN,Cash Trade,6,,,,,,x,,,,,,,
AFC,8/1/2026 18:18:52,BAL,Cash Trade,-6,,,,,,x,,,,,,,
AFC,8/1/2026 18:20:22,DEN,Jarvis Brownlee,1.1,1,2025 R/F,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/1/2026 19:39:15,DEN,Cash Trade,6.2,,,,,,x,,,,,,,
AFC,8/1/2026 19:39:15,KCC,Cash Trade,-6.2,,,,,,x,,,,,,,
AFC,8/3/2026 16:09:18,BAL,Jawhar Jordan,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/6/2026 09:17:30,NEP,Roschon Johnson,1.35,1,2023 3.15,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/13/2026 08:17:41,KCC,Ennis Rakestraw,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/13/2026 12:48:16,KCC,Cash Trade,7.2,,,,,,x,,,,,,,
AFC,8/13/2026 12:48:16,IND,Cash Trade,-7.2,,,,,,x,,,,,,,
AFC,8/14/2026 13:24:15,NEP,Olamide Zaccheaus,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 13:24:15,NEP,Jartavius Martin,1.55,1,2023 3.04,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 13:32:26,NEP,Jimmy Horn,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 13:40:05,NEP,Lonnie Johnson,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 13:50:17,NEP,Noah Gray,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 13:50:17,NEP,Andy Borregales,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 14:00:58,NEP,Will Kacmarek,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 14:04:09,NEP,Arik Armstead,1.1,1,2026 UFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY BUF,,x
AFC,8/14/2026 14:04:09,NEP,Dorance Armstrong,1.1,1,2025 R/F,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 14:10:11,NEP,Christian Wilkins,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 14:10:11,NEP,Malcolm Rodriguez,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/14/2026 14:10:11,NEP,Jam Miller,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/16/2026 09:36:17,DEN,Tutu Atwell,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/16/2026 09:36:17,DEN,JaTavion Sanders,1.24,2,2024 3.18,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/16/2026 09:36:17,DEN,Mitchell Evans,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/18/2026 10:41:29,IND,Jake Elliott,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/19/2026 21:31:39,BAL,Tyler Bass,1.2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/19/2026 21:31:39,BAL,Zachary Carter,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/19/2026 21:31:39,BAL,Emari Demercado,1.6,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/19/2026 21:31:39,BAL,Branson Combs,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/21/2026 15:01:49,BAL,Mike Gesicki,1.2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/21/2026 15:01:49,BAL,Devin Singletary,1.2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/21/2026 20:37:42,BAL,Hezekiah Masses,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 05:46:44,NEP,Chris Brooks,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 10:29:54,CLE,Kareem Hunt,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 10:50:32,CLE,Nate Boerkircher,1.02,4,2026 4.19,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 10:52:44,CLE,Shemar Turner,1.18,3,2025 3.22,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY BAL,,x
AFC,8/22/2026 11:00:55,CLE,Zion Young,1.25,4,2026 3.13,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY DEN,,x
AFC,8/22/2026 11:20:00,CLE,Lavonte David,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 11:23:21,CLE,Bobby Wagner,4.3,1,2026 UFA,,,,,,,,,,,
AFC,8/22/2026 11:45:05,CLE,Harrison Smith,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 11:51:21,CLE,PJ Locke,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/22/2026 11:51:42,CLE,Germaine Pratt,2.01,2,2026 UFA,,,,,,,,,,,
AFC,8/22/2026 11:53:15,CLE,Cade Stover,1.09,2,2024 5.05,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/25/2026 05:00:00,BAL,Marques Sigle,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/25/2026 11:48:53,IND,Keion White,1.22,1,2023 4.11,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/25/2026 14:53:54,BAL,Harrison Smith,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Logan Cooke,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Will Harris,1.1,1,2025 R/F,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Deommodore Lenoir,2.28,2,2025 UFA,,,,,,,,,,,
AFC,8/26/2026 22:31:19,MIA,Drew Sanders,1.84,1,2023 2.11,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Demario Douglas,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,DJ Giddens,1.03,3,2025 5.13,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Jarquez Hunter,1.03,3,2025 5.11,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Tai Felton,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Caleb Ransaw,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:31:19,MIA,Jakobe Thomas,0.98,4,2026 5.20,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:46:13,MIA,David Onyemata,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/26/2026 22:56:01,MIA,Karl Brooks,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/28/2026 07:27:49,BAL,Robert Henry,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/28/2026 17:35:27,DEN,Princely Umanmielen,0.99,2,2025 UDFA,,,,,,,,,WAIVER CLAIM - REVERSE PENALTY; CLAIMED BY KCC,,x
AFC,8/29/2026 14:16:17,DEN,Nick Martin,1.1,3,2025 4.10,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/29/2026 14:37:08,DEN,Shemar James,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/30/2026 09:45:41,KCC,Kyler Gordon,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/30/2026 17:04:26,KCC,Poona Ford,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/30/2026 19:48:05,BAL,Julian Okwara,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/30/2026 20:20:30,LAC,Aidan OConnell,1.21,1,2023 4.15,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,8/30/2026 21:18:16,BAL,Malcolm Rodriguez,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
