FRANCHISE,PLAYER,INJ,SALARY,YEARS,CONTRACT,ROSTER
Dallas Cowboys,"Mayfield, Baker TBB QB",,$14.88,4,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Prescott, Dak DAL QB",Questionable,$25.50,4,2026 B/R,ACTIVE_ROSTER
Dallas Cowboys,"Sanders, Shedeur CLE QB",,$1.17,3,2025 4.02,ACTIVE_ROSTER
Dallas Cowboys,"Irving, Bucky TBB RB",Questionable,$1.17,2,2024 4.06,ACTIVE_ROSTER
Dallas Cowboys,"Spears, Tyjae TEN RB",,$1.47,1,2023 3.07,ACTIVE_ROSTER
Dallas Cowboys,"Swift, D'Andre CHI RB",,$13.07,1,2024 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Cooper Jr., Omar NYJ WR",,$4.52,4,2026 1.08,ACTIVE_ROSTER
Dallas Cowboys,"Harris, Tre LAC WR",,$2.25,3,2025 2.03,ACTIVE_ROSTER
Dallas Cowboys,"Jeudy, Jerry CLE WR",Questionable,$4.05,3,2026 B/R,ACTIVE_ROSTER
Dallas Cowboys,"McConkey, Ladd LAC WR",Questionable,$3.03,2,2024 1.12,ACTIVE_ROSTER
Dallas Cowboys,"Metcalf, DK PIT WR",,$13.60,3,2026 oEXT,ACTIVE_ROSTER
Dallas Cowboys,"Robinson, Wan'Dale TEN WR",,$20.00,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Freiermuth, Pat PIT TE",,$4.53,1,2024 iEXT,ACTIVE_ROSTER
Dallas Cowboys,"Warren, Tyler IND TE",,$3.66,3,2025 1.10,ACTIVE_ROSTER
Dallas Cowboys,"Little, Cam JAC PK",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Wright, Ryan NOS PN",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Collins, Alfred SFO DT",,$1.14,3,2025 4.04,ACTIVE_ROSTER
Dallas Cowboys,"Heyward, Cameron PIT DT",,$13.59,1,2025 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Payne, Da'Ron WAS DT",,$7.99,1,2023 SRFA,ACTIVE_ROSTER
Dallas Cowboys,"Sieler, Zach MIA DT",,$16.50,2,2025 RRFA,ACTIVE_ROSTER
Dallas Cowboys,"Granderson, Carl NOS DE",,$10.03,1,2023 iEXT,ACTIVE_ROSTER
Dallas Cowboys,"Lawrence, Demarcus SEA DE",,$1.10,1,2025 R/F,ACTIVE_ROSTER
Dallas Cowboys,"Pearce, James ATL DE",,$1.43,3,2025 3.05,ACTIVE_ROSTER
Dallas Cowboys,"Sweat, Montez CHI DE",,$8.44,3,2025 oEXT,ACTIVE_ROSTER
Dallas Cowboys,"Wilson, Tyree NOS DE",,$2.10,1,2023 2.06,ACTIVE_ROSTER
Dallas Cowboys,"Brooks, Jordyn MIA LB",,$7.66,1,2023 iEXT,ACTIVE_ROSTER
Dallas Cowboys,"Bush, Devin CHI LB",,$10.78,2,2026 oEXT,ACTIVE_ROSTER
Dallas Cowboys,"Golday, Jake MIN LB",,$1.52,4,2026 3.01,ACTIVE_ROSTER
Dallas Cowboys,"Spillane, Robert NEP LB",,$3.24,3,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Trotter, Josiah TBB LB",,$1.71,4,2026 2.12,ACTIVE_ROSTER
Dallas Cowboys,"Wallace, Trevin CAR LB",Questionable,$1.20,2,2024 4.02,ACTIVE_ROSTER
Dallas Cowboys,"Benford, Christian BUF CB",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Dallas Cowboys,"Dean, Jamel PIT CB",,$2.25,2,2026 oEXT,ACTIVE_ROSTER
Dallas Cowboys,"Durant, Decobie DAL CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Dallas Cowboys,"Flott, Cordale TEN CB",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Dallas Cowboys,"McCollum, Zyon TBB CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Moore, Kenny FA CB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Stephens, Brandon NYJ CB",Questionable,$1.10,1,2026 R/F,ACTIVE_ROSTER
Dallas Cowboys,"Stevenson, Tyrique CHI CB",,$4.20,1,2026 UFA,ACTIVE_ROSTER
Dallas Cowboys,"Holland, Jevon NYG S",Questionable,$7.30,2,2024 B/R,ACTIVE_ROSTER
Dallas Cowboys,"Jefferson, Tony LAC S",,$2.00,1,2026 UFA,ACTIVE_ROSTER
