FRANCHISE,W1_A,W1_IR,W1_S,W1_TE,W1_Yrs,W1_Ill?,W1_Paid,W1_Vac$,W1_RostSal,W1_Adj,W1_Corr,W1_Final,W2_A,W2_IR,W2_S,W2_TE,W2_Yrs,W2_Ill?,W2_Paid,W2_Vac$,W2_RostSal,W2_Adj,W2_Corr,W2_Final,W3_A,W3_IR,W3_S,W3_TE,W3_Yrs,W3_Ill?,W3_Paid,W3_Vac$,W3_RostSal,W3_Adj,W3_Corr,W3_Final,W4_A,W4_IR,W4_S,W4_TE,W4_Yrs,W4_Ill?,W4_Paid,W4_Vac$,W4_RostSal,W4_Adj,W4_Corr,W4_Final,W5_A,W5_IR,W5_S,W5_TE,W5_Yrs,W5_Ill?,W5_Paid,W5_Vac$,W5_RostSal,W5_Adj,W5_Corr,W5_Final,W6_A,W6_IR,W6_S,W6_TE,W6_Yrs,W6_Ill?,W6_Paid,W6_Vac$,W6_RostSal,W6_Adj,W6_Corr,W6_Final,W7_A,W7_IR,W7_S,W7_TE,W7_Yrs,W7_Ill?,W7_Paid,W7_Vac$,W7_RostSal,W7_Adj,W7_Corr,W7_Final,W8_A,W8_IR,W8_S,W8_TE,W8_Yrs,W8_Ill?,W8_Paid,W8_Vac$,W8_RostSal,W8_Adj,W8_Corr,W8_Final,W9_A,W9_IR,W9_S,W9_TE,W9_Yrs,W9_Ill?,W9_Paid,W9_Vac$,W9_RostSal,W9_Adj,W9_Corr,W9_Final,W10_A,W10_IR,W10_S,W10_TE,W10_Yrs,W10_Ill?,W10_Paid,W10_Vac$,W10_RostSal,W10_Adj,W10_Corr,W10_Final,W11_A,W11_IR,W11_S,W11_TE,W11_Yrs,W11_Ill?,W11_Paid,W11_Vac$,W11_RostSal,W11_Adj,W11_Corr,W11_Final,W12_A,W12_IR,W12_S,W12_TE,W12_Yrs,W12_Ill?,W12_Paid,W12_Vac$,W12_RostSal,W12_Adj,W12_Corr,W12_Final,W13_A,W13_IR,W13_S,W13_TE,W13_Yrs,W13_Ill?,W13_Paid,W13_Vac$,W13_RostSal,W13_Adj,W13_Corr,W13_Final,W14_A,W14_IR,W14_S,W14_TE,W14_Yrs,W14_Ill?,W14_Paid,W14_Vac$,W14_RostSal,W14_Adj,W14_Corr,W14_Final,W15_A,W15_IR,W15_S,W15_TE,W15_Yrs,W15_Ill?,W15_Paid,W15_Vac$,W15_RostSal,W15_Adj,W15_Corr,W15_Final,W16_A,W16_IR,W16_S,W16_TE,W16_Yrs,W16_Ill?,W16_Paid,W16_Vac$,W16_RostSal,W16_Adj,W16_Corr,W16_Final,W17_A,W17_IR,W17_S,W17_TE,W17_Yrs,W17_Ill?,W17_Paid,W17_Vac$,W17_RostSal,W17_Adj,W17_Corr,W17_Final
DAL,44,1,1,0,85,,45,0.00,236.92,17.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYG,44,1,0,0,79,,45,0.00,257.71,-11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,45,1,0,0,91,,46,0.00,239.52,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,43,3,0,0,95,,46,0.00,231.77,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,45,0,0,0,105,,45,0.00,238.21,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,45,2,0,0,93,,47,0.00,223.49,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBP,45,4,0,0,91,,49,0.00,227.22,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,42,4,0,0,75,,46,0.00,227.40,15.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,43,1,0,0,84,,44,1.10,171.73,38.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,45,1,1,0,91,,46,0.00,222.05,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
