source,franchise_id,conference,franchise,franchise_name,player_id,player_name,occurred_at,round,type,type_desc,event_text,auction_event_type,auction_franchise_id,auction_player_id,auction_amount_raw,auction_amount,auction_forced_franchise_name,event_kind,commissioner_initiated,auction_high_bidder_franchise
transactions,0020,AFC,NYJ,New York Jets,,,2026-06-22T06:26:00Z,,AUCTION_WON,,NA 1782109560 NA 0020 AUCTION_WON NA NA NA NA NA NA NA 16383|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NYJ
transactions,0017,AFC,BUF,Buffalo Bills,,,2026-06-22T06:26:00Z,,AUCTION_WON,,NA 1782109560 NA 0017 AUCTION_WON NA NA NA NA NA NA NA 15405|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BUF
transactions,0020,AFC,NYJ,New York Jets,,,2026-06-22T06:26:00Z,,AUCTION_WON,,NA 1782109560 NA 0020 AUCTION_WON NA NA NA NA NA NA NA 15319|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NYJ
transactions,0027,AFC,JAC,Jacksonville Jaguars,,,2026-06-22T10:51:21Z,,AUCTION_INIT,,NA 1782125481 NA 0027 AUCTION_INIT NA NA NA NA NA NA NA 15089|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,JAC
transactions,0027,AFC,JAC,Jacksonville Jaguars,,,2026-06-22T10:51:29Z,,AUCTION_INIT,,NA 1782125489 NA 0027 AUCTION_INIT NA NA NA NA NA NA NA 14302|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,JAC
transactions,0027,AFC,JAC,Jacksonville Jaguars,,,2026-06-22T10:53:35Z,,AUCTION_INIT,,NA 1782125615 NA 0027 AUCTION_INIT NA NA NA NA NA NA NA 16926|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,JAC
transactions,0027,AFC,JAC,Jacksonville Jaguars,,,2026-06-22T10:53:41Z,,AUCTION_INIT,,NA 1782125621 NA 0027 AUCTION_INIT NA NA NA NA NA NA NA 15386|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,JAC
transactions,0027,AFC,JAC,Jacksonville Jaguars,,,2026-06-22T10:54:19Z,,AUCTION_INIT,,NA 1782125659 NA 0027 AUCTION_INIT NA NA NA NA NA NA NA 10945|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,JAC
transactions,0029,AFC,DEN,Denver Broncos,,,2026-06-22T12:01:20Z,,AUCTION_INIT,,NA 1782129680 NA 0029 AUCTION_INIT NA NA NA NA NA NA NA 17201|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,DEN
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-06-22T12:08:07Z,,AUCTION_BID,,NA 1782130087 NA 0021 AUCTION_BID NA NA NA NA NA NA NA 11757|4.2| NA NA NA NA NA,,,,,,,bid,FALSE,BAL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-06-22T12:11:57Z,,AUCTION_WON,,NA 1782130317 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 17116|1.2| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0020,AFC,NYJ,New York Jets,,,2026-06-22T13:09:05Z,,AUCTION_INIT,,NA 1782133745 NA 0020 AUCTION_INIT NA NA NA NA NA NA NA 16333|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,NYJ
transactions,0020,AFC,NYJ,New York Jets,,,2026-06-22T13:17:48Z,,AUCTION_INIT,,NA 1782134268 NA 0020 AUCTION_INIT NA NA NA NA NA NA NA 16752|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,NYJ
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:39:03Z,,AUCTION_WON,,NA 1782135543 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 17486|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:39:03Z,,AUCTION_WON,,NA 1782135543 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 16387|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:39:03Z,,AUCTION_WON,,NA 1782135543 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 12238|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-06-22T13:43:29Z,,AUCTION_WON,,NA 1782135809 NA 0009 AUCTION_WON NA NA NA NA NA NA NA 15368|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ATL
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:46:16Z,,AUCTION_WON,,NA 1782135976 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 8851|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:46:16Z,,AUCTION_WON,,NA 1782135976 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 15914|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0019,AFC,NEP,New England Patriots,,,2026-06-22T13:46:16Z,,AUCTION_WON,,NA 1782135976 NA 0019 AUCTION_WON NA NA NA NA NA NA NA 15337|1.10| NA NA NA NA NA,,,,,,,win,FALSE,NEP
transactions,0028,AFC,TEN,Tennessee Titans,,,2026-06-22T13:48:15Z,,AUCTION_INIT,,NA 1782136095 NA 0028 AUCTION_INIT NA NA NA NA NA NA NA 13133|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,TEN
transactions,0028,AFC,TEN,Tennessee Titans,,,2026-06-22T13:48:50Z,,AUCTION_INIT,,NA 1782136130 NA 0028 AUCTION_INIT NA NA NA NA NA NA NA 15332|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,TEN
