wave_date,first_wave_poll_count,conference,franchise,franchise_name,first_wave_polls_voted,voted_poll_ids,voted_poll_questions
2026-03-16,8,AFC,BAL,Baltimore Ravens,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,BUF,Buffalo Bills,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,CIN,Cincinnati Bengals,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,CLE,Cleveland Browns,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,DEN,Denver Broncos,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,HOU,Houston Texans,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,IND,Indianapolis Colts,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,JAC,Jacksonville Jaguars,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,KCC,Kansas City Chiefs,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,LAC,Los Angeles Chargers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
