conference,franchise,franchise_name,auction_bid_count,auction_event_count,nomination_event_count,commissioner_initiated_event_count,auctions,event_kinds
AFC,BAL,Baltimore Ravens,4,144,17,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
AFC,BUF,Buffalo Bills,2,47,8,0,"R/F, UDFA","bid, nomination, win"
AFC,CIN,Cincinnati Bengals,4,41,5,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
AFC,CLE,Cleveland Browns,3,38,8,0,"B/R, R/F, RFA","bid, nomination, win"
AFC,DEN,Denver Broncos,4,88,29,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
AFC,HOU,Houston Texans,3,49,17,0,"B/R, R/F, UDFA","bid, nomination, win"
AFC,IND,Indianapolis Colts,4,60,12,0,"B/R, FT, R/F, UDFA","bid, nomination, win"
AFC,JAC,Jacksonville Jaguars,3,42,11,0,"B/R, R/F, UDFA","bid, nomination, win"
AFC,KCC,Kansas City Chiefs,4,86,38,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
AFC,LAC,Los Angeles Chargers,2,32,11,0,"R/F, UDFA","bid, nomination, win"
AFC,LVR,Las Vegas Raiders,5,36,4,0,"B/R, FT, R/F, RFA, UDFA","bid, nomination, win"
AFC,MIA,Miami Dolphins,3,18,6,0,"B/R, R/F, UDFA","bid, nomination, win"
AFC,NEP,New England Patriots,4,60,15,0,"B/R, FT, R/F, UDFA","bid, nomination, win"
AFC,NYJ,New York Jets,5,28,8,0,"B/R, FT, R/F, RFA, UDFA","bid, nomination, win"
AFC,PIT,Pittsburgh Steelers,2,27,7,0,"B/R, R/F","bid, nomination, win"
AFC,TEN,Tennessee Titans,4,91,20,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,ARI,Arizona Cardinals,4,52,7,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,ATL,Atlanta Falcons,4,76,28,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,CAR,Carolina Panthers,3,36,14,0,"B/R, R/F, UDFA","bid, nomination, win"
NFC,CHI,Chicago Bears,4,64,24,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,DAL,Dallas Cowboys,4,103,32,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,DET,Detroit Lions,4,89,26,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,GBP,Green Bay Packers,4,32,8,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,LAR,Los Angeles Rams,3,59,21,0,"B/R, R/F, UDFA","bid, nomination, win"
NFC,MIN,Minnesota Vikings,4,86,25,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,NOS,New Orleans Saints,3,58,14,0,"B/R, R/F, UDFA","bid, nomination, win"
NFC,NYG,New York Giants,5,68,33,0,"B/R, FT, R/F, RFA, UDFA","bid, nomination, win"
NFC,PHI,Philadelphia Eagles,4,47,11,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,SEA,Seattle Seahawks,4,85,14,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,SFO,San Francisco 49ers,3,34,8,0,"B/R, R/F, UDFA","bid, nomination, win"
NFC,TBB,Tampa Bay Buccaneers,4,54,14,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
NFC,WAS,Washington Commanders,4,61,13,0,"B/R, R/F, RFA, UDFA","bid, nomination, win"
