season,checked_at,alert_type,severity,conference,franchise,franchise_name,rule,observed,details,violation_key,season_phase
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,BUF,Buffalo Bills,Must not go 24 hours without submitting an auction bid during the first 3 days of UFA,58.7 hours between UFA bids/checkpoints,Gap from 2026-06-15 12:00 EDT to 2026-06-17 22:42 EDT,ufa_bid_gap|BUF|202606151200,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,CIN,Cincinnati Bengals,Must not go 24 hours without submitting an auction bid during the first 3 days of UFA,26.8 hours between UFA bids/checkpoints,Gap from 2026-06-15 12:00 EDT to 2026-06-16 14:47 EDT,ufa_bid_gap|CIN|202606151200,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,IND,Indianapolis Colts,Must not go 24 hours without submitting an auction bid during the first 3 days of UFA,24.1 hours between UFA bids/checkpoints,Gap from 2026-06-17 11:52 EDT to 2026-06-18 12:00 EDT,ufa_bid_gap|IND|202606171152,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,LVR,Las Vegas Raiders,Must not go 24 hours without submitting an auction bid during the first 3 days of UFA,27.4 hours between UFA bids/checkpoints,Gap from 2026-06-15 12:06 EDT to 2026-06-16 15:28 EDT,ufa_bid_gap|LVR|202606151206,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,LVR,Las Vegas Raiders,Repeated illegal roster violation for three consecutive days at the early morning snapshot,Roster violations appeared from 2026-06-30 through 2026-07-09.,Violation types: Salary Cap Violation; inactivity violation would be triggered on 2026-07-02.,offseason_repeated_roster|2026|LVR|2026-06-30,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,AFC,LVR,Las Vegas Raiders,Rookie signing deadline: illegal roster at deadline,Offseason Inactivity Violation - $253.89m,"$9.89m over; leaders: London, Drake $29.83m; Goff, Jared $26.98m; Sutton, Courtland $24.97m; Davis, Jordan $20.26m; Williams, Quinnen $12.65m; Robinson, Bijan $10.93m; Landry, Harold $7.92m; Dean, Nakobe $7.69m",offseason_roster_deadline|2026|Rookie signing deadline|LVR,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,NFC,CAR,Carolina Panthers,Repeated illegal roster violation for three consecutive days at the early morning snapshot,Roster violations appeared from 2026-06-30 through 2026-07-09.,Violation types: Salary Cap Violation; inactivity violation would be triggered on 2026-07-02.,offseason_repeated_roster|2026|CAR|2026-06-30,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,NFC,CAR,Carolina Panthers,Rookie signing deadline: illegal roster at deadline,Offseason Inactivity Violation - $245.69m,"$1.69m over; leaders: Pickens, George $33.75m; Allen, Josh $27.24m; Jacobs, Josh $21.20m; Pierce, Alec $20.65m; Garrett, Myles $19.60m; Hunter, Danielle $10.45m; Walker, Travon $10.19m; Oliver, Ed $7.13m",offseason_roster_deadline|2026|Rookie signing deadline|CAR,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,NFC,NYG,New York Giants,Repeated illegal roster violation for three consecutive days at the early morning snapshot,Roster violations appeared from 2026-06-30 through 2026-07-09.,Violation types: Salary Cap Violation; inactivity violation would be triggered on 2026-07-02.,offseason_repeated_roster|2026|NYG|2026-06-30,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,NFC,NYG,New York Giants,Rookie signing deadline: illegal roster at deadline,Offseason Inactivity Violation - $254.54m,"$10.54m over; leaders: Lamb, CeeDee $41.50m; Collins, Nico $37.38m; Brown, Derrick $23.66m; McBride, Trey $22.66m; Taylor, Jonathan $19.36m; Herbert, Justin $16.65m; Allen, Zach $16.16m; Samuel, Deebo $15.49m",offseason_roster_deadline|2026|Rookie signing deadline|NYG,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Violation,violation,NFC,SEA,Seattle Seahawks,Must not go 24 hours without submitting an auction bid during the first 3 days of UFA,25.3 hours between UFA bids/checkpoints,Gap from 2026-06-17 10:41 EDT to 2026-06-18 12:00 EDT,ufa_bid_gap|SEA|202606171041,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Review,info,,,League,Bylaw first-round voting check,MFL TYPE=polls endpoint responded with 10 poll-like record(s).,This review does not yet issue bylaw-vote inactivity violations; next step is mapping poll votes to franchise IDs for the specific first-round amendment polls.,,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Review Gap,info,,,League,Illegal roster at UFA signing deadline / failed UFA signing deadline review,No archived commissioner alert report was found for 2026-06-22.,The 2026 UFA signing deadline cannot be reconstructed reliably from the current archive. Future seasons should use a scheduled deadline scrape at the exact deadline.,,offseason
2026,2026-09-04 00:00:14 UTC,Offseason Inactivity Review Gap,info,,,League,UFA signing deadline: illegal roster deadline check,No archived commissioner alert report was found for 2026-06-22.,This deadline cannot be reconstructed reliably from live roster state after the fact. Future seasons should use a scheduled deadline scrape at the exact deadline.,,offseason
