season,snapshot_time,franchise_id,franchise_name,CONF,player_id,player_name,player_team,player_pos,roster_status,roster_salary,roster_years,roster_contractInfo
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14892,"Brooks, Jordyn",MIA,LB,Active,7.66,1,2023 iEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13723,"Payne, Da'Ron",WAS,DT,Active,7.99,1,2023 SRFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16226,"Wilson, Tyree",NOS,DE,Active,2.1,1,2023 2.06
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14405,"Granderson, Carl",NOS,DE,Active,10.03,1,2023 iEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15366,"Holland, Jevon",NYG,S,Active,7.3,2,2024 B/R
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14797,"Swift, D'Andre",CHI,RB,Active,13.07,1,2024 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16627,"McConkey, Ladd",LAC,WR,Active,3.03,2,2024 1.12
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16704,"Wallace, Trevin",CAR,LB,Active,1.2,2,2024 4.02
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,11769,"Lawrence, Demarcus",SEA,DE,Active,1.1,1,2025 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13839,"Sieler, Zach",MIA,DT,Active,16.5,2,2025 RRFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15331,"Freiermuth, Pat",PIT,TE,Active,4.53,1,2024 iEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17031,"Sanders, Shedeur",CLE,QB,Active,1.17,3,2025 4.02
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17102,"Warren, Tyler",IND,TE,Active,3.66,3,2025 1.10
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17148,"Collins, Alfred",SFO,DT,Active,1.14,3,2025 4.04
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17115,"Pearce, James",ATL,DE,Active,1.43,3,2025 3.05
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17131,"Watts, Xavier",ATL,S,Active,1.29,3,2025 3.13
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,10266,"Heyward, Cameron",PIT,DT,Active,13.59,1,2025 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15365,"Moehrig, Trevon",CAR,S,Active,7.18,3,2026 oEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14219,"Dean, Jamel",PIT,CB,Active,2.25,2,2026 oEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14170,"Bush, Devin",CHI,LB,Active,10.78,2,2026 oEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16165,"Spears, Tyjae",TEN,RB,Active,1.47,1,2023 3.07
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17072,"Harris, Tre",LAC,WR,Active,2.25,3,2025 2.03
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15405,"Stephens, Brandon",NYJ,CB,Active,1.1,1,2026 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15888,"Durant, Decobie",DAL,CB,Active,1.1,1,2026 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14148,"Sweat, Montez",CHI,DE,Active,8.44,3,2025 oEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15866,"Flott, Cordale",TEN,CB,Active,1.1,1,2026 ERFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,12620,"Prescott, Dak",DAL,QB,Active,25.5,4,2026 B/R
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14102,"Metcalf, DK",PIT,WR,Active,13.6,3,2026 oEXT
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17502,"Cooper Jr., Omar",NYJ,WR,Active,4.52,4,2026 1.08
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16598,"Irving, Bucky",TBB,RB,Active,1.17,2,2024 4.06
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17589,"Trotter, Josiah",TBB,LB,Active,1.71,4,2026 2.12
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17571,"Golday, Jake",MIN,LB,Active,1.52,4,2026 3.01
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16680,"Little, Cam",JAC,PK,Active,2,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16010,"Wright, Ryan",NOS,PN,Active,1.1,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13987,"Spillane, Robert",NEP,LB,Active,3.24,3,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15757,"Robinson, Wan'Dale",TEN,WR,Active,20,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14833,"Jeudy, Jerry",CLE,WR,Active,4.05,3,2026 B/R
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16267,"Stevenson, Tyrique",CHI,CB,Active,4.2,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,11327,"Jefferson, Tony",LAC,S,Active,2,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13470,"Moore, Kenny",FA,CB,Active,1.1,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13590,"Mayfield, Baker",TBB,QB,Active,14.88,4,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15895,"McCollum, Zyon",TBB,CB,Active,2,1,2026 UFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15913,"Benford, Christian",BUF,CB,Active,1.1,1,2026 ERFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,16688,"Guerendo, Isaac",SFO,RB,Taxi,1.1,1,2026 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17483,"Hemby, Roman",LVR,RB,Taxi,0.94,3,2026 UDFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17709,"Henry, Robert",WAS,RB,Taxi,0.94,3,2026 UDFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,14086,"Hill, Justice",BAL,RB,Taxi,1.1,1,2026 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,15727,"Knight, Bam",ARI,RB,Taxi,1.1,1,2026 ERFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,13133,"Perine, Samaje",CIN,RB,Taxi,1.1,1,2026 R/F
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17652,"Randall, Adam",BAL,RB,Taxi,1,4,2026 4.25
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17484,"Reid, Desmond",FA,RB,Taxi,0.94,3,2026 UDFA
2026,2026-07-13T19:54:36Z,0001,Dallas Cowboys,NFC,17541,"Brown, Barion",NOS,WR,Taxi,0.94,3,2026 UDFA
