drop_row_key,player_id,player,conference,drop_franchise_id,dropped_at_utc,claimed_at_utc,claiming_franchise_id,salary,contract
txn=|fr=0028|pl=15001|ts=2026-09-22 00:12:05|ty=FREE_AGENT|td=dropped|cm=NA,15001,Kamren Curl,AFC,0028,2026-09-22 00:12:05,2026-09-23 09:00:00,0025,2.85,2026 UFA
txn=|fr=0013|pl=16778|ts=2026-09-17 07:28:02|ty=FREE_AGENT|td=dropped|cm=NA,16778,Ryan Flournoy,NFC,0013,2026-09-17 07:28:02,2026-09-18 09:00:00,0003,2.01,2026 UFA
txn=|fr=0006|pl=13322|ts=2026-09-15 13:51:28|ty=FREE_AGENT|td=dropped|cm=NA,13322,Chuck Clark,NFC,0006,2026-09-15 13:51:28,2026-09-17 09:00:00,0008,2,2026 UFA
txn=|fr=0029|pl=17202|ts=2026-09-07 16:54:25|ty=FREE_AGENT|td=dropped|cm=NA,17202,Dante Trader,AFC,0029,2026-09-07 16:54:25,2026-09-09 09:00:00,0032,1.1,2026 R/F
txn=|fr=0011|pl=15357|ts=2026-09-07 15:56:34|ty=FREE_AGENT|td=dropped|cm=NA,15357,Christian Barmore,NFC,0011,2026-09-07 15:56:34,2026-09-09 09:00:00,0016,13.7,2025 UFA
txn=|fr=0011|pl=17600|ts=2026-09-07 15:56:34|ty=FREE_AGENT|td=dropped|cm=NA,17600,Chris McClellan,NFC,0011,2026-09-07 15:56:34,2026-09-09 09:00:00,0001,0.94,2026 UDFA
txn=|fr=0011|pl=16236|ts=2026-09-07 15:56:34|ty=FREE_AGENT|td=dropped|cm=NA,16236,Henry TooToo,NFC,0011,2026-09-07 15:56:34,2026-09-09 09:00:00,0009,2,2026 UFA
txn=|fr=0022|pl=17155|ts=2026-09-07 15:35:44|ty=FREE_AGENT|td=dropped|cm=NA,17155,Ashton Gillotte,AFC,0022,2026-09-07 15:35:44,2026-09-09 09:00:00,0030,0.99,2025 UDFA
txn=|fr=0003|pl=14888|ts=2026-09-07 15:16:35|ty=FREE_AGENT|td=dropped|cm=NA,14888,KLavon Chaisson,NFC,0003,2026-09-07 15:16:35,2026-09-09 09:00:00,0006,1.1,2026 UFA
txn=|fr=0003|pl=15401|ts=2026-09-07 15:16:35|ty=FREE_AGENT|td=dropped|cm=NA,15401,Nahshon Wright,NFC,0003,2026-09-07 15:16:35,2026-09-09 09:00:00,0007,1.1,2026 ERFA
txn=|fr=0025|pl=17467|ts=2026-09-07 15:13:49|ty=FREE_AGENT|td=dropped|cm=NA,17467,Cade Klubnik,AFC,0025,2026-09-07 15:13:49,2026-09-09 09:00:00,0029,0.98,2026 5.13
txn=|fr=0015|pl=16629|ts=2026-09-07 12:09:58|ty=FREE_AGENT|td=dropped|cm=NA,16629,Roman Wilson,NFC,0015,2026-09-07 12:09:58,2026-09-09 09:00:00,0003,1.81,2024 2.09
txn=|fr=0021|pl=16693|ts=2026-09-07 11:55:41|ty=FREE_AGENT|td=dropped|cm=NA,16693,TVondre Sweat,AFC,0021,2026-09-07 11:55:41,2026-09-09 09:00:00,0017,1.23,2024 3.19
txn=|fr=0013|pl=17476|ts=2026-09-07 09:04:47|ty=FREE_AGENT|td=dropped|cm=NA,17476,Nicholas Singleton,NFC,0013,2026-09-07 09:04:47,2026-09-09 09:00:00,0011,1.46,2026 3.03
txn=|fr=0030|pl=15676|ts=2026-09-07 03:54:46|ty=FREE_AGENT|td=dropped|cm=NA,15676,Zayne Anderson,AFC,0030,2026-09-07 03:54:46,2026-09-08 09:00:00,0032,1.1,2026 UFA
txn=|fr=0006|pl=15894|ts=2026-09-06 23:47:11|ty=FREE_AGENT|td=dropped|cm=NA,15894,Tariq Woolen,NFC,0006,2026-09-06 23:47:11,2026-09-08 09:00:00,0007,1.1,2026 R/F
txn=|fr=0006|pl=17608|ts=2026-09-06 23:31:33|ty=FREE_AGENT|td=dropped|cm=NA,17608,Jakobe Thomas,NFC,0006,2026-09-06 23:31:33,2026-09-08 09:00:00,0008,0.94,2026 UDFA
txn=|fr=0004|pl=16757|ts=2026-09-06 21:41:01|ty=FREE_AGENT|td=dropped|cm=NA,16757,Kimani Vidal,NFC,0004,2026-09-06 21:41:01,2026-09-08 09:00:00,0003,2,2026 UFA
txn=|fr=0004|pl=16677|ts=2026-09-06 21:41:01|ty=FREE_AGENT|td=dropped|cm=NA,16677,Javon Bullard,NFC,0004,2026-09-06 21:41:01,2026-09-08 09:00:00,0007,1.3,2024 3.13
txn=|fr=0004|pl=17640|ts=2026-09-06 21:41:01|ty=FREE_AGENT|td=dropped|cm=NA,17640,Michael Taaffe,NFC,0004,2026-09-06 21:41:01,2026-09-08 09:00:00,0010,0.94,2026 UDFA
txn=|fr=0009|pl=16608|ts=2026-09-06 19:28:57|ty=FREE_AGENT|td=dropped|cm=NA,16608,George Holani,NFC,0009,2026-09-06 19:28:57,2026-09-08 09:00:00,0001,1.1,2026 R/F
txn=|fr=0005|pl=13710|ts=2026-09-06 08:04:43|ty=FREE_AGENT|td=dropped|cm=NA,13710,Carlton Davis,NFC,0005,2026-09-06 08:04:43,2026-09-07 09:00:00,0010,2,2026 UFA
txn=|fr=0005|pl=14328|ts=2026-09-06 08:04:43|ty=FREE_AGENT|td=dropped|cm=NA,14328,Andrew Wingard,NFC,0005,2026-09-06 08:04:43,2026-09-07 09:00:00,0009,1.1,2026 UFA
txn=|fr=0005|pl=13192|ts=2026-09-06 07:43:45|ty=FREE_AGENT|td=dropped|cm=NA,13192,David Njoku,NFC,0005,2026-09-06 07:43:45,2026-09-07 09:00:00,0007,2,2026 UFA
txn=|fr=0005|pl=14182|ts=2026-09-06 07:43:45|ty=FREE_AGENT|td=dropped|cm=NA,14182,Amani Hooker,NFC,0005,2026-09-06 07:43:45,2026-09-07 09:00:00,0008,2,2026 UFA
txn=|fr=0005|pl=12772|ts=2026-09-06 07:43:45|ty=FREE_AGENT|td=dropped|cm=NA,12772,Eric Murray,NFC,0005,2026-09-06 07:43:45,2026-09-07 09:00:00,0008,1.1,2025 R/F
txn=|fr=0005|pl=14168|ts=2026-09-06 06:39:50|ty=FREE_AGENT|td=dropped|cm=NA,14168,Devin White,NFC,0005,2026-09-06 06:39:50,2026-09-07 09:00:00,0007,1.1,2026 UFA
txn=|fr=0010|pl=15565|ts=2026-09-04 22:31:16|ty=FREE_AGENT|td=dropped|cm=NA,15565,Michael Hoecht,NFC,0010,2026-09-04 22:31:16,2026-09-06 09:00:00,0002,1.1,2026 R/F
txn=|fr=0001|pl=16850|ts=2026-09-03 14:25:12|ty=FREE_AGENT|td=dropped|cm=NA,16850,Jacob Saylors,NFC,0001,2026-09-03 14:25:12,2026-09-05 09:00:00,0013,1.1,2026 UFA
txn=|fr=0001|pl=16216|ts=2026-09-03 14:25:12|ty=FREE_AGENT|td=dropped|cm=NA,16216,Darnell Washington,NFC,0001,2026-09-03 14:25:12,2026-09-05 09:00:00,0009,1.1,2026 R/F
txn=|fr=0001|pl=11945|ts=2026-09-03 14:25:12|ty=FREE_AGENT|td=dropped|cm=NA,11945,Cairo Santos,NFC,0001,2026-09-03 14:25:12,2026-09-05 09:00:00,0009,1.1,2026 R/F
txn=|fr=0016|pl=17202|ts=2026-08-31 17:01:01|ty=FREE_AGENT|td=dropped|cm=NA,17202,Dante Trader,NFC,0016,2026-08-31 17:01:01,2026-09-02 09:00:00,0009,1.1,2026 ERFA
txn=|fr=0016|pl=17076|ts=2026-08-31 16:47:25|ty=FREE_AGENT|td=dropped|cm=NA,17076,Isaiah Bond,NFC,0016,2026-08-31 16:47:25,2026-09-02 09:00:00,0002,0.99,2025 UDFA
txn=|fr=0016|pl=17527|ts=2026-08-31 16:47:25|ty=FREE_AGENT|td=dropped|cm=NA,17527,Josh Cameron,NFC,0016,2026-08-31 16:47:25,2026-09-02 09:00:00,0002,0.94,2026 UDFA
txn=|fr=0016|pl=17616|ts=2026-08-31 14:42:02|ty=FREE_AGENT|td=dropped|cm=NA,17616,Keionte Scott,NFC,0016,2026-08-31 14:42:02,2026-09-02 09:00:00,0003,0.99,2026 5.10
txn=|fr=0003|pl=17214|ts=2026-08-31 13:59:22|ty=FREE_AGENT|td=dropped|cm=NA,17214,Denzel Burke,NFC,0003,2026-08-31 13:59:22,2026-09-02 09:00:00,0010,1.1,2026 UFA
txn=|fr=0005|pl=16384|ts=2026-08-31 05:05:21|ty=FREE_AGENT|td=dropped|cm=NA,16384,Tyson Bagent,NFC,0005,2026-08-31 05:05:21,2026-09-01 09:00:00,0009,1.1,2026 R/F
txn=|fr=0007|pl=13782|ts=2026-08-31 01:25:30|ty=FREE_AGENT|td=dropped|cm=NA,13782,Michael Dickson,NFC,0007,2026-08-31 01:25:30,2026-09-01 09:00:00,0009,1.1,2026 R/F
txn=|fr=0009|pl=15402|ts=2026-08-30 19:16:16|ty=FREE_AGENT|td=dropped|cm=NA,15402,Elijah Molden,NFC,0009,2026-08-30 19:16:16,2026-09-01 09:00:00,0003,1.1,2026 UFA
txn=|fr=0009|pl=15875|ts=2026-08-30 19:16:16|ty=FREE_AGENT|td=dropped|cm=NA,15875,Dane Belton,NFC,0009,2026-08-30 19:16:16,2026-09-01 09:00:00,0002,1.1,2026 UFA
txn=|fr=0029|pl=17160|ts=2026-08-28 21:35:27|ty=FREE_AGENT|td=dropped|cm=NA,17160,Princely Umanmielen,AFC,0029,2026-08-28 21:35:27,2026-08-30 09:00:00,0030,0.99,2025 UDFA
txn=|fr=0023|pl=10783|ts=2026-08-22 15:45:05|ty=FREE_AGENT|td=dropped|cm=NA,10783,Harrison Smith,AFC,0023,2026-08-22 15:45:05,2026-08-25 09:00:00,0021,1.1,2026 UFA
txn=|fr=0023|pl=17588|ts=2026-08-22 15:00:55|ty=FREE_AGENT|td=dropped|cm=NA,17588,Zion Young,AFC,0023,2026-08-22 15:00:55,2026-08-25 09:00:00,0029,1.25,2026 3.13
txn=|fr=0023|pl=17151|ts=2026-08-22 14:52:44|ty=FREE_AGENT|td=dropped|cm=NA,17151,Shemar Turner,AFC,0023,2026-08-22 14:52:44,2026-08-25 09:00:00,0021,1.18,2025 3.22
