"player_id","CONF","franchise_id","drop_time_key","lock_kind","date_locked_text","release_condition","dropped_by"
"15981","NFC","0008","2026-09-17 05:00:00","drop","Thu Sep 17 5:00:00 a.m. ET 2026","Waivers After Fri Sep 18 5:00:00 a.m. ET 2026","Minnesota Vikings"
"16846","NFC","0012","2026-09-17 19:26:58","drop","Thu Sep 17 7:26:58 p.m. ET 2026","Waivers After Fri Sep 18 7:26:58 p.m. ET 2026","Tampa Bay Buccaneers"
"11945","NFC","0009","2026-09-17 12:37:14","drop","Thu Sep 17 12:37:14 p.m. ET 2026","Waivers After Fri Sep 18 12:37:14 p.m. ET 2026","Atlanta Falcons"
"12218","NFC","0009","2026-09-17 12:37:14","drop","Thu Sep 17 12:37:14 p.m. ET 2026","Waivers After Fri Sep 18 12:37:14 p.m. ET 2026","Atlanta Falcons"
"13742","NFC","0005","2026-09-17 12:41:02","drop","Thu Sep 17 12:41:02 p.m. ET 2026","Waivers After Fri Sep 18 12:41:02 p.m. ET 2026","Chicago Bears"
"11706","NFC","0009","2026-09-17 22:03:36","drop","Thu Sep 17 10:03:36 p.m. ET 2026","Waivers After Fri Sep 18 10:03:36 p.m. ET 2026","Atlanta Falcons"
"14979","NFC","0007","2026-09-17 14:14:41","drop","Thu Sep 17 2:14:41 p.m. ET 2026","Waivers After Fri Sep 18 2:14:41 p.m. ET 2026","Green Bay Packers"
"17156","NFC","0011","2026-09-17 17:18:31","drop","Thu Sep 17 5:18:31 p.m. ET 2026","Waivers After Fri Sep 18 5:18:31 p.m. ET 2026","New Orleans Saints"
"14918","NFC","0003","2026-09-18 05:00:00","drop","Fri Sep 18 5:00:00 a.m. ET 2026","Waivers After Sat Sep 19 5:00:00 a.m. ET 2026","Philadelphia Eagles"
"14095","AFC","0027","2026-09-17 13:06:50","drop","Thu Sep 17 1:06:50 p.m. ET 2026","Waivers After Fri Sep 18 1:06:50 p.m. ET 2026","Jacksonville Jaguars"
"16212","AFC","0029","2026-09-17 18:25:57","drop","Thu Sep 17 6:25:57 p.m. ET 2026","Waivers After Fri Sep 18 6:25:57 p.m. ET 2026","Denver Broncos"
"16036","AFC","0027","2026-09-17 13:03:35","drop","Thu Sep 17 1:03:35 p.m. ET 2026","Waivers After Fri Sep 18 1:03:35 p.m. ET 2026","Jacksonville Jaguars"
"13844","AFC","0027","2026-09-17 13:03:21","drop","Thu Sep 17 1:03:21 p.m. ET 2026","Waivers After Fri Sep 18 1:03:21 p.m. ET 2026","Jacksonville Jaguars"
