"player_id","CONF","franchise_id","drop_time_key","lock_kind","date_locked_text","release_condition","dropped_by"
"17743","NFC","0016","2026-09-23 14:50:31","drop","Wed Sep 23 2:50:31 p.m. ET 2026","Waivers After Thu Sep 24 2:50:31 p.m. ET 2026","Seattle Seahawks"
"12610","NFC","0006","2026-09-23 12:15:18","drop","Wed Sep 23 12:15:18 p.m. ET 2026","Waivers After Thu Sep 24 12:15:18 p.m. ET 2026","Detroit Lions"
"16171","NFC","0005","2026-09-24 12:44:24","drop","Thu Sep 24 12:44:24 p.m. ET 2026","Waivers After Fri Sep 25 12:44:24 p.m. ET 2026","Chicago Bears"
"16757","NFC","0003","2026-09-23 12:34:20","drop","Wed Sep 23 12:34:20 p.m. ET 2026","Waivers After Thu Sep 24 12:34:20 p.m. ET 2026","Philadelphia Eagles"
"14871","NFC","0006","2026-09-23 12:15:18","drop","Wed Sep 23 12:15:18 p.m. ET 2026","Waivers After Thu Sep 24 12:15:18 p.m. ET 2026","Detroit Lions"
"8851","NFC","0010","2026-09-23 19:43:04","drop","Wed Sep 23 7:43:04 p.m. ET 2026","Waivers After Thu Sep 24 7:43:04 p.m. ET 2026","Carolina Panthers"
"17726","NFC","0015","2026-09-23 13:47:51","drop","Wed Sep 23 1:47:51 p.m. ET 2026","Waivers After Thu Sep 24 1:47:51 p.m. ET 2026","San Francisco 49ers"
"13448","NFC","0003","2026-09-23 12:34:20","drop","Wed Sep 23 12:34:20 p.m. ET 2026","Waivers After Thu Sep 24 12:34:20 p.m. ET 2026","Philadelphia Eagles"
"15809","NFC","0002","2026-09-23 13:36:31","drop","Wed Sep 23 1:36:31 p.m. ET 2026","Waivers After Thu Sep 24 1:36:31 p.m. ET 2026","New York Giants"
"16255","NFC","0011","2026-09-23 14:17:00","drop","Wed Sep 23 2:17:00 p.m. ET 2026","Waivers After Thu Sep 24 2:17:00 p.m. ET 2026","New Orleans Saints"
"15405","NFC","0005","2026-09-24 12:44:24","drop","Thu Sep 24 12:44:24 p.m. ET 2026","Waivers After Fri Sep 25 12:44:24 p.m. ET 2026","Chicago Bears"
"14086","AFC","0018","2026-09-23 13:11:02","drop","Wed Sep 23 1:11:02 p.m. ET 2026","Waivers After Thu Sep 24 1:11:02 p.m. ET 2026","Miami Dolphins"
"14983","AFC","0025","2026-09-23 05:00:00","drop","Wed Sep 23 5:00:00 a.m. ET 2026","Waivers After Thu Sep 24 5:00:00 a.m. ET 2026","Houston Texans"
"13770","AFC","0032","2026-09-24 12:20:43","drop","Thu Sep 24 12:20:43 p.m. ET 2026","Waivers After Fri Sep 25 12:20:43 p.m. ET 2026","Los Angeles Chargers"
"16294","AFC","0023","2026-09-23 21:22:07","drop","Wed Sep 23 9:22:07 p.m. ET 2026","Waivers After Thu Sep 24 9:22:07 p.m. ET 2026","Cleveland Browns"
"16300","AFC","0021","2026-09-23 13:38:26","drop","Wed Sep 23 1:38:26 p.m. ET 2026","Waivers After Thu Sep 24 1:38:26 p.m. ET 2026","Baltimore Ravens"
"17639","AFC","0032","2026-09-23 16:01:17","drop","Wed Sep 23 4:01:17 p.m. ET 2026","Waivers After Thu Sep 24 4:01:17 p.m. ET 2026","Los Angeles Chargers"
"16731","AFC","0021","2026-09-23 17:35:18","drop","Wed Sep 23 5:35:18 p.m. ET 2026","Waivers After Thu Sep 24 5:35:18 p.m. ET 2026","Baltimore Ravens"
"15401","AFC","0023","2026-09-23 13:05:59","drop","Wed Sep 23 1:05:59 p.m. ET 2026","Waivers After Thu Sep 24 1:05:59 p.m. ET 2026","Cleveland Browns"
"14270","AFC","0025","2026-09-24 07:32:41","drop","Thu Sep 24 7:32:41 a.m. ET 2026","Waivers After Fri Sep 25 7:32:41 a.m. ET 2026","Houston Texans"
"15003","AFC","0023","2026-09-23 21:01:52","drop","Wed Sep 23 9:01:52 p.m. ET 2026","Waivers After Thu Sep 24 9:01:52 p.m. ET 2026","Cleveland Browns"
"17202","AFC","0032","2026-09-24 12:51:21","drop","Thu Sep 24 12:51:21 p.m. ET 2026","Waivers After Fri Sep 25 12:51:21 p.m. ET 2026","Los Angeles Chargers"
