"player_id","CONF","franchise_id","drop_time_key","lock_kind","date_locked_text","release_condition","dropped_by"
"16171","NFC","0005","2026-09-24 12:44:24","drop","Thu Sep 24 12:44:24 p.m. ET 2026","Waivers After Fri Sep 25 12:44:24 p.m. ET 2026","Chicago Bears"
"17220","NFC","0007","2026-09-24 19:30:26","drop","Thu Sep 24 7:30:26 p.m. ET 2026","Waivers After Fri Sep 25 7:30:26 p.m. ET 2026","Green Bay Packers"
"15405","NFC","0005","2026-09-24 12:44:24","drop","Thu Sep 24 12:44:24 p.m. ET 2026","Waivers After Fri Sep 25 12:44:24 p.m. ET 2026","Chicago Bears"
"15401","NFC","0007","2026-09-24 19:30:26","drop","Thu Sep 24 7:30:26 p.m. ET 2026","Waivers After Fri Sep 25 7:30:26 p.m. ET 2026","Green Bay Packers"
"16603","AFC","0027","2026-09-24 19:07:01","drop","Thu Sep 24 7:07:01 p.m. ET 2026","Waivers After Fri Sep 25 7:07:01 p.m. ET 2026","Jacksonville Jaguars"
"16189","AFC","0029","2026-09-25 05:00:00","drop","Fri Sep 25 5:00:00 a.m. ET 2026","Waivers After Sat Sep 26 5:00:00 a.m. ET 2026","Denver Broncos"
"13770","AFC","0032","2026-09-24 12:20:43","drop","Thu Sep 24 12:20:43 p.m. ET 2026","Waivers After Fri Sep 25 12:20:43 p.m. ET 2026","Los Angeles Chargers"
"16711","AFC","0027","2026-09-24 19:07:01","drop","Thu Sep 24 7:07:01 p.m. ET 2026","Waivers After Fri Sep 25 7:07:01 p.m. ET 2026","Jacksonville Jaguars"
"10292","AFC","0027","2026-09-24 19:07:01","drop","Thu Sep 24 7:07:01 p.m. ET 2026","Waivers After Fri Sep 25 7:07:01 p.m. ET 2026","Jacksonville Jaguars"
"16703","AFC","0029","2026-09-24 14:37:42","drop","Thu Sep 24 2:37:42 p.m. ET 2026","Waivers After Fri Sep 25 2:37:42 p.m. ET 2026","Denver Broncos"
"14270","AFC","0025","2026-09-24 07:32:41","drop","Thu Sep 24 7:32:41 a.m. ET 2026","Waivers After Fri Sep 25 7:32:41 a.m. ET 2026","Houston Texans"
"17202","AFC","0032","2026-09-24 12:51:21","drop","Thu Sep 24 12:51:21 p.m. ET 2026","Waivers After Fri Sep 25 12:51:21 p.m. ET 2026","Los Angeles Chargers"
