SNAPSHOT_TIME_ET,CONF,FRANCHISE,PLAYER_ID,PLAYER,INJURY,BYE,SALARY,YEARS,CONTRACT,ROSTER_STATUS
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15913,"Benford, Christian",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14892,"Brooks, Jordyn",,,$7.66,1,2023 iEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17541,"Brown, Barion",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14170,"Bush, Devin",,,$10.78,2,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17148,"Collins, Alfred",,,$1.14,3,2025 4.04,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13844,"Cooke, Logan",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17502,"Cooper Jr., Omar",,,$4.52,4,2026 1.08,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16593,"Corum, Blake",,,$1.49,2,2024 3.03,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14219,"Dean, Jamel",,,$2.25,2,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15797,"Dulcich, Greg",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15888,"Durant, Decobie",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15464,"Echols, Brandin",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14270,"Epps, Marcus",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17097,"Felton, Tai",,,$1.04,3,2025 5.08,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15866,"Flott, Cordale",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15331,"Freiermuth, Pat",,,$4.53,1,2024 iEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17571,"Golday, Jake",,,$1.52,4,2026 3.01,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14405,"Granderson, Carl",,,$10.03,1,2023 iEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16688,"Guerendo, Isaac",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17072,"Harris, Tre",,,$2.25,3,2025 2.03,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17483,"Hemby, Roman",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17709,"Henry, Robert",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,10266,"Heyward, Cameron",,,$13.59,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14086,"Hill, Justice",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15366,"Holland, Jevon",,,$7.30,2,2024 B/R,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13731,"Hughes, Mike",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16598,"Irving, Bucky",,,$1.17,2,2024 4.06,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17670,"Jackson, Domani",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14833,"Jeudy, Jerry",,,$4.05,3,2026 B/R,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15881,"Jones, Jack",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17646,"Kilgore, Jalon",,,$0.94,3,2026 UDFA,
