SNAPSHOT_TIME_ET,CONF,FRANCHISE,PLAYER_ID,PLAYER,SALARY,YEARS,CONTRACT,ROSTER_STATUS
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13590,"Mayfield, Baker TBB QB",$14.88,4,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,12620,"Prescott, Dak DAL QB",$25.50,4,2026 B/R,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17031,"Sanders, Shedeur CLE QB",$1.17,3,2025 4.02,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16598,"Irving, Bucky TBB RB",$1.17,2,2024 4.06,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16165,"Spears, Tyjae TEN RB",$1.47,1,2023 3.07,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14797,"Swift, D'Andre CHI RB",$13.07,1,2024 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17502,"Cooper Jr., Omar NYJ WR",$4.52,4,2026 1.08,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17072,"Harris, Tre LAC WR",$2.25,3,2025 2.03,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14833,"Jeudy, Jerry CLE WR",$4.05,3,2026 B/R,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16627,"McConkey, Ladd LAC WR",$3.03,2,2024 1.12,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14102,"Metcalf, DK PIT WR",$13.60,3,2026 oEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15757,"Robinson, Wan'Dale TEN WR",$20.00,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15331,"Freiermuth, Pat PIT TE",$4.53,1,2024 iEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17102,"Warren, Tyler IND TE",$3.66,3,2025 1.10,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16680,"Little, Cam JAC PK",$2.00,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16010,"Wright, Ryan NOS PN",$1.10,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17148,"Collins, Alfred SFO DT",$1.14,3,2025 4.04,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,10266,"Heyward, Cameron PIT DT",$13.59,1,2025 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13723,"Payne, Da'Ron WAS DT",$7.99,1,2023 SRFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13839,"Sieler, Zach MIA DT",$16.50,2,2025 RRFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14405,"Granderson, Carl NOS DE",$10.03,1,2023 iEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,11769,"Lawrence, Demarcus SEA DE",$1.10,1,2025 R/F,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17115,"Pearce, James ATL DE",$1.43,3,2025 3.05,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14148,"Sweat, Montez CHI DE",$8.44,3,2025 oEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16226,"Wilson, Tyree NOS DE",$2.10,1,2023 2.06,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14892,"Brooks, Jordyn MIA LB",$7.66,1,2023 iEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14170,"Bush, Devin CHI LB",$10.78,2,2026 oEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17571,"Golday, Jake MIN LB",$1.52,4,2026 3.01,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13987,"Spillane, Robert NEP LB",$3.24,3,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17589,"Trotter, Josiah TBB LB",$1.71,4,2026 2.12,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16704,"Wallace, Trevin CAR LB",$1.20,2,2024 4.02,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15913,"Benford, Christian BUF CB",$1.10,1,2026 ERFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14219,"Dean, Jamel PIT CB",$2.25,2,2026 oEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15888,"Durant, Decobie DAL CB",$1.10,1,2026 R/F,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15866,"Flott, Cordale TEN CB",$1.10,1,2026 ERFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15895,"McCollum, Zyon TBB CB",$2.00,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13470,"Moore, Kenny FA CB",$1.10,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15405,"Stephens, Brandon NYJ CB",$1.10,1,2026 R/F,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16267,"Stevenson, Tyrique CHI CB",$4.20,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15366,"Holland, Jevon NYG S",$7.30,2,2024 B/R,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,11327,"Jefferson, Tony LAC S",$2.00,1,2026 UFA,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15365,"Moehrig, Trevon CAR S",$7.18,3,2026 oEXT,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17131,"Watts, Xavier ATL S",$1.29,3,2025 3.13,Active
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16688,"Guerendo, Isaac SFO RB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17483,"Hemby, Roman LVR RB",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17709,"Henry, Robert WAS RB",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14086,"Hill, Justice BAL RB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15727,"Knight, Bam ARI RB",$1.10,1,2026 ERFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13133,"Perine, Samaje CIN RB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17652,"Randall, Adam BAL RB",$1.00,4,2026 4.25,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17484,"Reid, Desmond FA RB",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17541,"Brown, Barion NOS WR",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17097,"Felton, Tai MIN WR",$1.04,3,2025 5.08,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13066,"Raymond, Kalif CHI WR",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15797,"Dulcich, Greg MIA TE",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,16216,"Washington, Darnell PIT TE",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15369,"Patterson, Riley MIA PK",$1.10,1,2026 ERFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,11945,"Santos, Cairo CHI PK",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13844,"Cooke, Logan JAC PN",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,11383,"Martin, Sam CAR PN",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17625,"Moore, Trey MIA DE",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15464,"Echols, Brandin PIT CB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,13731,"Hughes, Mike ATL CB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17670,"Jackson, Domani GBP CB",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,15881,"Jones, Jack SFO CB",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,14270,"Epps, Marcus PHI S",$1.10,1,2026 R/F,Taxi
07/21/2026 07:23 AM EDT,NFC,Dallas Cowboys,17646,"Kilgore, Jalon BUF S",$0.94,3,2026 UDFA,Taxi
07/21/2026 07:23 AM EDT,NFC,New York Giants,17466,"Beck, Carson ARI QB",$1.06,4,2026 4.12,Active
07/21/2026 07:23 AM EDT,NFC,New York Giants,14779,"Herbert, Justin LAC QB",$16.65,3,2023 iEXT,Active
07/21/2026 07:23 AM EDT,NFC,New York Giants,17033,"Milroe, Jalen SEA QB",$1.23,3,2025 3.17,Active
