SNAPSHOT_TIME_ET,CONF,FRANCHISE,ROSTER_STATUS,PLAYER_ID,PLAYER,SALARY,YEARS,CONTRACT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14892,"Brooks, Jordyn",7.66,1,2023 iEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,13723,"Payne, Da'Ron",7.99,1,2023 SRFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16226,"Wilson, Tyree",2.1,1,2023 2.06
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14405,"Granderson, Carl",10.03,1,2023 iEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15366,"Holland, Jevon",7.3,2,2024 B/R
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14797,"Swift, D'Andre",13.07,1,2024 UFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16627,"McConkey, Ladd",3.03,2,2024 1.12
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14947,"Wonnum, D.J.",3.92,1,2024 UFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16704,"Wallace, Trevin",1.2,2,2024 4.02
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,11769,"Lawrence, Demarcus",1.1,1,2025 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,13839,"Sieler, Zach",16.5,2,2025 RRFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15331,"Freiermuth, Pat",4.53,1,2024 iEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17031,"Sanders, Shedeur",1.17,3,2025 4.02
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17102,"Warren, Tyler",3.66,3,2025 1.10
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17148,"Collins, Alfred",1.14,3,2025 4.04
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17115,"Pearce, James",1.43,3,2025 3.05
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17131,"Watts, Xavier",1.29,3,2025 3.13
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,10266,"Heyward, Cameron",13.59,1,2025 UFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15365,"Moehrig, Trevon",7.18,3,2026 oEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14219,"Dean, Jamel",2.25,2,2026 oEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14170,"Bush, Devin",10.78,2,2026 oEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16165,"Spears, Tyjae",1.47,1,2023 3.07
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17072,"Harris, Tre",2.25,3,2025 2.03
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15405,"Stephens, Brandon",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,13731,"Hughes, Mike",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15888,"Durant, Decobie",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14148,"Sweat, Montez",8.44,3,2025 oEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,11383,"Martin, Sam",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16287,"Tucker, Tre",5.77,3,2026 SRFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15369,"Patterson, Riley",1.1,1,2026 ERFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15913,"Benford, Christian",1.1,1,2026 ERFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,15866,"Flott, Cordale",1.1,1,2026 ERFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,12620,"Prescott, Dak",25.5,4,2026 B/R
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14833,"Jeudy, Jerry",4.05,3,2026 B/R
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,14102,"Metcalf, DK",13.6,3,2026 oEXT
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17502,"Cooper Jr., Omar",4.52,4,2026 1.08
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16598,"Irving, Bucky",1.17,2,2024 4.06
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17589,"Trotter, Josiah",1.71,4,2026 2.12
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17571,"Golday, Jake",1.52,4,2026 3.01
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,16593,"Corum, Blake",1.49,2,2024 3.03
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Active,17646,"Kilgore, Jalon",0.94,3,2026 UDFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,16688,"Guerendo, Isaac",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17483,"Hemby, Roman",0.94,3,2026 UDFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17709,"Henry, Robert",0.94,3,2026 UDFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,14086,"Hill, Justice",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,15727,"Knight, Bam",1.1,1,2026 ERFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,13133,"Perine, Samaje",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17652,"Randall, Adam",1,4,2026 4.25
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17484,"Reid, Desmond",0.94,3,2026 UDFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17541,"Brown, Barion",0.94,3,2026 UDFA
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,17097,"Felton, Tai",1.04,3,2025 5.08
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,13066,"Raymond, Kalif",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,15797,"Dulcich, Greg",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,16216,"Washington, Darnell",1.1,1,2026 R/F
05/13/2026 11:30 PM EDT,NFC,Dallas Cowboys,Taxi,11945,"Santos, Cairo",1.1,1,2026 R/F
