SEASON,WEEK,WAIVER_WINDOW_START_ET,WAIVER_WINDOW_END_ET,DATE,CONF,FRAN,FRANCHISE_ID,PLAYER,PLAYER_ID,SALARY,YEARS,CONTRACT,FG,1.XX+,RVSD?,SALARY_SNAPSHOT_TIME_ET,WAIVER_STATUS,NOTES
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 07:49:44,AFC,BAL,0021,Bobby Wagner,10775,2.1,1,2026 UFA,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 07:55:41,AFC,BAL,0021,Jeremy Reaves,14434,1.1,1,2026 UFA,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 07:55:41,AFC,BAL,0021,TVondre Sweat,16693,1.23,2,2024 3.19,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 13:15:24,AFC,BUF,0017,Arik Armstead,12218,1.1,1,2026 UFA,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:35:44,AFC,CIN,0022,Cameron Thomas,15814,1.1,1,2026 UFA,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:35:44,AFC,CIN,0022,Jacob Cowing,16640,1.22,2,2024 4.01,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:42:18,AFC,CIN,0022,Darius Slayton,14122,1.1,1,2025 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/06/2026 17:21:50,AFC,DEN,0029,Vernon Broughton,17158,1.1,1,2026 R/F,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/06/2026 18:20:44,AFC,DEN,0029,Greg Dulcich,15797,1.1,1,2026 UFA,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 12:54:25,AFC,DEN,0029,Dante Trader,17202,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Dalvin Tomlinson,13260,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Darrell Baker,16139,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,David Ojabo,15807,1.1,1,2026 UFA,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Gardner Minshew,14067,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Jalen Milroe,17033,1.29,3,2025 3.13,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Jason Sanders,13832,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Micah McFadden,15890,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Tyler Higbee,12678,1.1,1,2026 R/F,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Xavier Legette,16639,2.57,2,2024 1.15,x,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 11:13:49,AFC,HOU,0025,Zyon McCollum,15895,1.1,1,2026 UFA,,,,09/07/2026 11:09 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 08:32:30,AFC,IND,0026,Alvin Kamara,13132,2.1,1,2026 UFA,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
2026,1,09/06/2026 05:00 AM EDT,09/08/2026 03:30 AM EDT,09/07/2026 08:38:51,AFC,IND,0026,Isaiah Pola-Mao,16102,1.1,1,2026 R/F,,,,09/06/2026 08:58 AM EDT,Not rostered in same conference at cap run,Dropped in waiver-correction window; verify whether prior-week cap correction is needed.
